Iteración,Agente,Posición,Energía,Sed,Edad,Tiene Hambre,Tiene Sed,Ha Comido,Ha Bebido,Muerto,Causa de Muerte
1,0,"(9, 8)",7,15,1,True,False,False,False,False,
1,1,"(4, 3)",7,15,1,True,False,True,False,False,
1,2,"(7, 5)",11,15,1,False,False,False,False,False,
2,0,"(8, 7)",6,14,2,True,False,True,False,False,
2,1,"(3, 3)",11,14,2,False,False,True,False,False,
2,2,"(7, 6)",10,14,2,False,False,False,False,False,
3,0,"(8, 6)",10,13,3,False,False,True,False,False,
3,1,"(2, 3)",10,13,3,False,False,True,False,False,
3,2,"(7, 6)",9,13,3,False,False,False,False,False,
4,0,"(8, 6)",9,12,4,False,True,True,True,False,
4,1,"(2, 2)",9,12,4,False,True,True,True,False,
4,2,"(8, 6)",8,12,4,False,True,False,True,False,
5,0,"(7, 7)",8,21,5,False,False,True,True,False,
5,1,"(2, 1)",8,21,5,False,False,True,True,False,
5,2,"(7, 7)",7,21,5,True,False,False,True,False,
6,0,"(7, 8)",7,20,6,True,False,True,True,False,
6,1,"(1, 1)",7,20,6,True,False,True,True,False,
6,2,"(6, 6)",6,20,6,True,False,True,True,False,
7,0,"(6, 7)",6,19,7,True,False,True,True,False,
7,1,"(1, 2)",6,19,7,True,False,True,True,False,
7,2,"(5, 6)",10,19,7,False,False,True,True,False,
8,0,"(5, 8)",5,18,8,True,False,True,True,False,
8,1,"(2, 2)",5,18,8,True,False,True,True,False,
8,2,"(4, 6)",9,18,8,False,False,True,True,False,
9,0,"(4, 9)",9,17,9,False,False,True,True,False,
9,1,"(2, 2)",4,17,9,True,False,True,True,False,
9,2,"(5, 6)",8,17,9,False,False,True,True,False,
10,0,"(5, 9)",8,16,10,False,False,True,True,False,
10,1,"(2, 2)",3,16,10,True,False,True,True,False,
10,2,"(5, 5)",7,16,10,True,False,True,True,False,
11,0,"(4, 9)",7,15,11,True,False,True,True,False,
11,1,"(2, 2)",2,15,11,True,False,True,True,False,
11,2,"(5, 4)",11,15,11,False,False,True,True,False,
12,0,"(3, 9)",6,14,12,True,False,True,True,False,
12,1,"(2, 2)",1,14,12,True,False,True,True,True,Energía
12,2,"(6, 4)",10,14,12,False,False,True,True,False,
13,0,"(3, 9)",5,13,13,True,False,True,True,False,
13,1,,0,13,-1,True,False,False,False,True,Energía
13,2,"(6, 5)",9,13,13,False,False,True,True,False,
14,0,"(2, 9)",4,12,14,True,True,True,True,False,
14,1,,0,13,-1,True,False,False,False,True,Energía
14,2,"(6, 4)",8,12,14,False,True,True,True,False,
15,0,"(3, 9)",3,21,15,True,False,True,True,False,
15,1,,0,13,-1,True,False,False,False,True,Energía
15,2,"(5, 4)",7,11,15,True,True,True,True,False,
16,0,"(3, 9)",2,20,16,True,False,True,True,False,
16,1,,0,13,-1,True,False,False,False,True,Energía
16,2,"(6, 3)",6,10,16,True,True,True,True,False,
17,0,"(3, 9)",1,19,17,True,False,True,True,True,Energía
17,1,,0,13,-1,True,False,False,False,True,Energía
17,2,"(6, 2)",10,9,17,False,True,True,True,False,
18,0,,0,18,-1,True,False,False,False,True,Energía
18,1,,0,13,-1,True,False,False,False,True,Energía
18,2,"(6, 2)",9,8,18,False,True,True,True,False,
19,0,,0,18,-1,True,False,False,False,True,Energía
19,1,,0,13,-1,True,False,False,False,True,Energía
19,2,"(5, 2)",8,7,19,False,True,True,True,False,
20,0,,0,18,-1,True,False,False,False,True,Energía
20,1,,0,13,-1,True,False,False,False,True,Energía
20,2,"(4, 2)",7,16,20,True,False,True,True,False,
21,0,,0,18,-1,True,False,False,False,True,Energía
21,1,,0,13,-1,True,False,False,False,True,Energía
21,2,"(4, 1)",6,15,21,True,False,True,True,False,
22,0,,0,18,-1,True,False,False,False,True,Energía
22,1,,0,13,-1,True,False,False,False,True,Energía
22,2,"(4, 2)",5,14,22,True,False,True,True,False,
23,0,,0,18,-1,True,False,False,False,True,Energía
23,1,,0,13,-1,True,False,False,False,True,Energía
23,2,"(4, 3)",4,13,23,True,False,True,True,False,
24,0,,0,18,-1,True,False,False,False,True,Energía
24,1,,0,13,-1,True,False,False,False,True,Energía
24,2,"(4, 3)",3,12,24,True,True,True,True,False,
25,0,,0,18,-1,True,False,False,False,True,Energía
25,1,,0,13,-1,True,False,False,False,True,Energía
25,2,"(4, 4)",2,11,25,True,True,True,True,False,
26,0,,0,18,-1,True,False,False,False,True,Energía
26,1,,0,13,-1,True,False,False,False,True,Energía
26,2,"(3, 4)",1,10,26,True,True,True,True,True,Energía
